id,key,section,section_position,question_number,difficulty,question_type,ans_mc,ans_num,ans_array,ans_min,ans_max,tag_category,tag_group,tag,createdAt,updatedAt,TestId
1,cb1,reading,1,1,e,mc,B,,,,,Literature,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
2,cb1,reading,1,2,e,mc,B,,,,,Literature,No Line Reference,Summary,2020/3/04 0:00,2020/3/04 0:00,1
3,cb1,reading,1,3,h,mc,C,,,,,Literature,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
4,cb1,reading,1,4,m,mc,A,,,,,Literature,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
5,cb1,reading,1,5,m,mc,C,,,,,Literature,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
6,cb1,reading,1,6,m,mc,D,,,,,Literature,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
7,cb1,reading,1,7,h,mc,D,,,,,Literature,Line Reference,Role/Purpose,2020/3/04 0:00,2020/3/04 0:00,1
8,cb1,reading,1,8,e,mc,B,,,,,Literature,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
9,cb1,reading,1,9,e,mc,C,,,,,Literature,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
10,cb1,reading,1,10,e,mc,B,,,,,Literature,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
11,cb1,reading,1,11,e,mc,A,,,,,Social Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
12,cb1,reading,1,12,h,mc,B,,,,,Social Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
13,cb1,reading,1,13,e,mc,D,,,,,Social Science,No Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
14,cb1,reading,1,14,e,mc,A,,,,,Social Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
15,cb1,reading,1,15,m,mc,A,,,,,Social Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
16,cb1,reading,1,16,h,mc,C,,,,,Social Science,Line Reference,Comprehension,2020/3/04 0:00,2020/3/04 0:00,1
17,cb1,reading,1,17,m,mc,C,,,,,Social Science,Command of Evidence,,2020/3/04 0:00,2020/3/04 0:00,1
18,cb1,reading,1,18,e,mc,D,,,,,Social Science,Line Reference,Words in Context,2020/3/04 0:00,2020/3/04 0:00,1
19,cb1,reading,1,19,m,mc,A,,,,,Social Science,Line Reference,Purpose,2020/3/04 0:00,2020/3/04 0:00,1
20,cb1,reading,1,20,e,mc,B,,,,,Social Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
21,cb1,reading,1,21,h,mc,A,,,,,Social Science,Figure,,2020/3/04 0:00,2020/3/04 0:00,1
